anchorage_id,anchorage_name,anchorage_sublabel,lat,lon,total_visits,top_destination,iso3,distance_from_shore_m,dock
4813e14b,ILE DE BATZ,NA,48.726359452117855,-3.9781766623586696,236,ROSCOFF,FRA,0,TRUE
8c0e7463,ILE FOURCHUE,ST BARTS,17.9554483567222,-62.9053227163595,813,ST BARTS,BLM,0,TRUE
8c0e7465,ILE FOURCHUE,B HS BAY,17.95678293167806,-62.90449921259176,98,B HS BAY,BLM,2000,TRUE
07390b6f,ILHEUS,PORT OF ILHEUS,-14.756336442635943,-39.016824382624925,31,ILHEUS,BRA,2000,FALSE
12d26c03,IMPERIA,NA,43.88593277011762,8.038948901048872,223,IMPERIA,ITA,1000,TRUE
8a2d1147,IRELAND ISLAND,NA,32.327782996212754,-64.8299936298672,403,BERMUDA,BMU,1000,TRUE
8c04969f,ISLA PALOMINOS,NA,18.349705394168,-65.57325443131583,207,PUERTCDELREY,PRI,0,TRUE
13283e3b,ISOLA DEL GIGLIO,NA,42.35295890007613,10.923048850087534,102,GIGLIO,ITA,0,TRUE
8c40896d,JALOUSIE,NA,13.840233988157692,-61.06549075846003,56,ST LUCIA,LCA,0,TRUE
8c408973,JALOUSIE,NA,13.843081812067695,-61.065649104216085,69,ST LUCIA,LCA,0,TRUE
8c408977,JALOUSIE,NA,13.849015021521566,-61.06321181806484,32,ST LUCIA,LCA,0,TRUE
8c40899d,JALOUSIE,NA,13.854615187960869,-61.062725967574906,40,SOUFRIERE,LCA,0,TRUE
8c408971,JALOUSIE,NA,13.844079921649746,-61.06383829524913,107,ST LUCIA,LCA,0,TRUE
8c408949,JALOUSIE,ST LUCIA,13.820148807438567,-61.068428213308096,32,ST LUCIA,LCA,0,TRUE
8c408941,JALOUSIE,SOUFRIERE,13.82636372700439,-61.06560202635753,141,ST LUCIA,LCA,0,TRUE
04eae29f,JAMESTOWN,NA,-15.92119593660019,-5.726630777757337,54,ST HELENA,SHN,0,FALSE
129e0e4b,JAVEA,NA,38.79693477249676,0.1877693708711225,397,JAVEA,ESP,1000,TRUE
8c050c7f,JOST VAN DYKE,NA,18.439053736599384,-64.76494812845587,407,JOST VAN DYKE,VGB,2000,TRUE
8c0574b7,JOST VAN DYKE,NA,18.45049394766191,-64.71000984524878,32,BF,VGB,2000,TRUE
8c050c83,JOST VAN DYKE,NA,18.437497256540162,-64.75243110516634,98,JOST VAN DYKE,VGB,2000,TRUE
8c050b63,JOST VAN DYKE,NA,18.44114091892167,-64.75079392414239,3581,BVI,VGB,2000,TRUE
14a3ccb1,KARYSTOS ANCHORAGE,KARYSTOS,38.01224742306496,24.41642935436548,607,ANE,GRC,1000,TRUE
8edb4239,KINGSTON,NA,17.8587961084536,-76.7944183020209,35,KINGSTON,JAM,8000,FALSE
8edb422f,KINGSTON,NA,17.870325918239306,-76.78844702562583,75,KINGSTON,JAM,7000,FALSE
8edb417d,KINGSTON,NA,17.880716984948318,-76.77190449826881,23,KINGSTON JAMAICA,JAM,6000,FALSE
